epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.83791,1.26485,3.18265,1.1557,0.01217,0.53333,0.27919,0.19848,0.84822,3.13856,1.12818,0.000370444,0.000370444,0.000370444
2,7.76208,1.08647,3.14801,1.14741,0.01217,0.53333,0.27919,0.19848,0.84822,3.13856,1.12818,0.000907774,0.000907774,0.000907774
3,10.8011,1.04639,3.11946,1.06345,0.01217,0.53333,0.27919,0.19848,0.84822,3.13856,1.12818,0.0014231,0.0014231,0.0014231
4,13.7778,1.00435,3.05882,1.11682,0.01217,0.53333,0.27919,0.19848,0.84822,3.13856,1.12818,0.00156798,0.00156798,0.00156798
5,16.7606,0.80493,3.06107,1.01671,0.0085,0.33333,0.00559,0.00159,2.45092,3.47503,2.09046,0.00153497,0.00153497,0.00153497
6,19.9565,2.88769,3.51731,1.94822,0.0085,0.33333,0.00559,0.00159,2.45092,3.47503,2.09046,0.00150197,0.00150197,0.00150197
7,23.4284,3.08299,3.50738,2.22007,0.0085,0.33333,0.00559,0.00159,2.45092,3.47503,2.09046,0.00146896,0.00146896,0.00146896
8,26.4202,2.70475,3.42315,2.01076,0.0085,0.33333,0.00559,0.00159,2.45092,3.47503,2.09046,0.00143595,0.00143595,0.00143595
9,29.3285,2.86578,3.35141,2.11447,0.0085,0.33333,0.00559,0.00159,2.45092,3.47503,2.09046,0.00140295,0.00140295,0.00140295
10,32.2411,2.64114,3.32922,2.18004,0.01123,0.5,0.01797,0.00414,2.15591,3.38463,2.13444,0.00136994,0.00136994,0.00136994
11,35.2475,2.06436,3.04779,1.6272,0.01123,0.5,0.01797,0.00414,2.15591,3.38463,2.13444,0.00133693,0.00133693,0.00133693
12,38.1408,2.28509,3.09437,1.98994,0.01123,0.5,0.01797,0.00414,2.15591,3.38463,2.13444,0.00130393,0.00130393,0.00130393
